0000 graphic
0002 mask
0002 map
0004 source
0004 screen
0006 bgbuff
0008 ColumnCount
0009 RowCount
000a PlotMapX
000b OriginalMapX
000c TempRX
000d TempLo
000e TempHi
000f KeyRegister
0010 SecondCounter
0011 usm_SunMoonYPos
0012 usm_RowIndex
0013 usm_screen
0015 usm_graphic
0017 ProgrammableCountdown
0018 dm_CursorX
0019 dm_CursorY
001a dm_MapIndex
001b MomentaryBlock
001c cmap
001e text
0020 char
0022 ScreenX
0023 ScreenY
0024 ColX
0025 ColY
0026 ColW
0027 ColH
0028 ColC
0029 StarfieldDistance
002a sfTemp01
002b rndRandom
002d rndTemp
002e TempCount
002f FloodWidth
0030 TankWidth
0031 ptr_source
0033 ptr_destination
0035 ptr_destination_end
0037 ptr_source_back
0039 offset
003b mask_value
003c nb_dst
003e reg0
003f reg2
0040 tmp4
0042 sfx
0044 sfxTemp1
0045 sfxTemp2
0046 sfx_CurrentChannel
0047 pattern
0049 effect
0049 ornament
004b header
004d pat
004f eat
0051 oat
0053 TempVolume
0054 GameFlag
0055 screen2
0057 CollisionWidth
0058 CollisionHeightCount
0059 TimeAlt
0700 Driver
1cd0 Driver2
0703 CollisionMapYLOCL
1a00 CollisionMap
076f CollisionMapYLOCH
07db Mult40Lo
07ed Mult40Hi
07ff StarfieldDirection
0800 PageAlligned2_600
0800 pmeLoopOrEnd
0809 pmeLoop
0897 EndEffect
080b prcEGPeriod
84c3 ayw_EGPeriod
080f MusicTempoCount
0810 pmeNoiseOff
84bf ayw_Status
086d NoiseBit
081a prcBar
84c6 BarFlag
081f PatternRow
0820 pmeEGOff
84c0 ayw_Volume
84d8 EGActiveFlag
082e NewActivity
082f PatternRestCount
0830 pmeToneOff
085d ToneBit
083a prcNoise
84be ayw_Noise
083e ChannelID
083f ListIndex
0840 pmeVolumeOFS
08a5 PatternVolume
084f MusicActivity
0850 pmeNoiseOFS
08bc NoiseOn
085d EffectBit
0860 pmeEGPerOFS
08c6 EGOn
086a EffectMask
086a ToneMask
086d OrnamentBit
0870 pmePitchOFS
84c7 Temp01
84db IntermediatePitchLo
0887 skip2
088c skip1
84dc IntermediatePitchHi
08a2 PatternNote
08a8 EffectID
08ab ayRealRegister
08b9 EffectIndex
84cb NoiseMask
08d3 prcCom_Tempo
08db ObjectIndex
08dc Object_BlockID
08e4 Object_CollisionValue
08ec Offset2x2
08f0 HoneypotSOS
08f1 HoneypotPresent
08f2 BeesDestinationX
08f3 BeesDestinationY
08f4 BeeTravellingFlag
08f5 Object2Plot
08f7 ObjectsMapCode
08fb InternalFallCount
08fc FirePressedPeriod
08fd HeroDirFlag
08fe UltimateProjectile
08ff BonusLevelFlag
0900 PageAlligned2_700
0900 BackgroundBuffer
19e0 Object_X
19e8 Object_Y
19f0 Object_MapLo
19f8 Object_MapHi
1a00 StarfieldX
1a64 StarfieldY
1ac8 StarfieldStep
9f7c ClearLowerScreen
6f28 SetupIRQ
1ce1 loop1
9f54 BB80Restoration
1cf0 loop1
1cf4 loop2
3ac3 ClearScreen
1cfb GameStartLoop
81ee InitMusic
37a4 CounterReference
1f0a FrontEnd
3795 HeroScore
3860 DisplayScore
3082 Option_Difficulty
3066 InitialLives
3794 HeroLives
399a DisplayLives
3793 LevelID
1d6a NextLevelLoop
1e87 SetupLevel
7230 UnpackData
6375 DrawMap
37ad HeroHolding
3a64 DisplayHeldObject
9f1f SetTimeLimit
37ab HeroCapturedFairies
39e4 DisplayCapturedFairies
37aa HeroFrame
6e67 PlotHero
1e30 DisplayLevelName
37a5 GameAction
1d99 GameLoop
1e7e SpeedDampener
277f NPCControl
66ed HeroControl
1dbb skip3
70bf FireEngine
1e48 ManageBeePosition
1dd1 skip2
1dfa EndOfBonusScreen
1dc8 skip1
211b DisplayOverlay
1e3f CommonTextDelay
248c CheckHiscore
1dce skip5
26c5 EscMenu
1dd8 loop1
3798 HeroLevelScore
1def skip4
1dec skip7
1dfc loop1
1e1b GameCompleted
72c6 KickSFX
1e41 CommonTextDelay2
1e43 loop1
1e7d skip1
37b5 BeeOriginX
37b6 BeeOriginY
1e5d skip2
1e78 ReachedDestination
1e68 IncBeeX
1e62 DecBeeX
1e6b skip3
1e74 IncBeeY
1e70 DecBeeY
1eb1 LevelStart_MapX
37a6 MapX
1eb4 LevelStart_HeroX
37a8 HeroX
37a9 HeroY
1eb7 LevelStart_Fairies2Collect
37ac HeroRequiredFairies
3a24 DisplayRequiredFairies
1eb0 testExit
1eba TrampolenesLevelID
1ece TrampolenesStartMapX
1ee2 TrampolenesEndMapX
1ef6 TrampolenesEndHeroX
379f CurrentDisplay
37a0 InactivityCountdown
1f2e loop1
1f36 loop2
1f43 skip7
1fae InactivityTimeout
1f88 skip2
1f60 skip3
379e MenuOptionsY
1fce DeleteOptionHearts
1fa8 skip4
1f74 skip5
1f7e skip6
1ff8 DecOption
1f91 skip1
200c IncOption
1f8d skip8
1fb8 Switch2Title
1f96 loop3
1fe3 DisplayOptionHearts
1fbb Switch2Stuff
38cf DisplayHighscore
2613 PlotCharAtXY
307e OptionValue
2006 skip1
3087 OptionRange
2024 StoreOption
201e skip1
2033 PlotOption1
2052 PlotOption2
2072 PlotOption3
20a6 PlotOption4
20d3 PlotOption5
203b loop1
2046 Option1Texts
2215 TextOverlay_SoundOption
205d loop1
2068 Option2Texts
2224 TextOverlay_IngameOption
207b loop1
2086 Option3Texts
2234 TextOverlay_InputOption
20af vector1
20b4 loop1
20bf Option4Texts
